Antibiotics,Susceptible,Resistant,Intermediate
Amikacin,≤ 16,≥ 64,32
Tobramycin,≤ 4,≥ 16,8
Gentamicin,≤ 4,≥ 16,8
Netilmicin,≤ 8,≥ 32,16
Imipenem,≤ 2,≥ 8,4
Meropenem,≤ 2,≥ 8,4
Doripenem,≤ 2,≥ 8,4
Ciprofloxacin,≤ 1,≥ 4,2
Levofloxacin,≤ 2,≥ 8,4
Piperacillin/ tazobactam,≤ 16/4,≥ 128/4,32/4-64/4
Ticarcillin/ clavulanic acid,≤ 16/2,≥ 128/2,32/2-64/2
Cefotaxime,≤ 8,≥ 64,16-32
Ceftriaxone,≤ 8,≥ 64,16-32
Ceftazidime,≤ 8,≥ 32,16
Cefepime,≤ 8,≥ 32,16
Trimethoprim/ sulfamethoxazole,≤ 2/38,≥ 4/76,-
Ampicillin/ sulbactam,≤ 8/4,≥ 32/16,16/8
Colistin,-,≥ 4,≤ 2
Polymyxin B,-,≥ 4,≤ 2
Tetracycline,≤ 4,≥ 16,8
Doxycycline,≤ 4,≥ 16,8
Minocycline,≤ 4,≥ 16,8